Time;Value;Filtered
19:32;-19,77777778;-9,888888889
19:33;23,22222222;17,15297579
19:33;-48,77777778;-43,55903136
19:34;23,22222222;20,67386876
19:34;-35,77777778;-33,73649606
19:35;18,22222222;16,03245702
19:35;-33,77777778;-31,49974258
19:36;-20,77777778;-21,28914757
19:37;25,22222222;17,51725608
19:37;47,22222222;45,51080142
19:38;10,22222222;12,90784666
19:38;19,22222222;18,8002815
19:39;33,22222222;29,86058334
19:39;49,22222222;46,09485201
19:40;21,22222222;24,20734971
19:41;34,22222222;33,2805309
19:41;10,22222222;14,38794862
19:42;26,22222222;24,96008446
19:42;49,22222222;45,25924735
19:43;27,22222222;29,03383691
19:43;23,22222222;23,9149284
19:44;50,22222222;43,52547679
19:44;12,22222222;15,48649351
19:45;-14,77777778;-12,46952168
19:46;-26,77777778;-25,68605585
19:46;35,22222222;26,77483948
19:47;-11,77777778;-10,09025359
19:47;37,22222222;34,38952408
19:48;-23,77777778;-20,82991709
19:48;33,22222222;30,97352562
19:49;11,22222222;12,09309963
19:50;47,22222222;43,52756157
19:50;60,22222222;59,0683685
19:51;9,222222222;15,34041001
19:51;1,222222222;1,951149609
19:52;10,22222222;9,08983051
19:52;13,22222222;12,34644878
19:53;-15,77777778;-6,678201777
19:54;7,222222222;5,72534965
19:54;-7,777777778;-5,807592606
19:55;25,22222222;20,42424568
19:55;53,22222222;50,56395649
19:56;-1,777777778;1,967650031
19:56;-26,77777778;-25,43245675
19:57;44,22222222;38,82817155
19:57;-24,77777778;-22,47545094
19:58;2,222222222;1,289715599
19:59;16,22222222;14,92015531
19:59;54,22222222;48,88587754
20:00;23,22222222;24,88324528
20:00;33,22222222;32,49937736
20:01;-16,77777778;-6,842407063
20:01;8,222222222;7,363108983
20:02;11,22222222;10,71612082
20:03;36,22222222;28,27654539
20:03;14,22222222;15,83531634
20:04;89,22222222;78,52709782
20:04;14,22222222;16,60998843
20:05;23,22222222;22,97484829
20:05;-8,777777778;-1,734992386
20:06;15,22222222;13,76818184
20:06;5,222222222;6,275261019
20:07;41,22222222;34,05206703
20:08;46,22222222;45,27920505
20:08;96,22222222;88,27896871
20:09;3,222222222;7,688554429
20:09;-50,77777778;-49,06741851
20:10;54,22222222;50,03590221
20:10;24,22222222;24,84273147
20:11;30,22222222;29,7759111
20:12;33,22222222;32,33635087
20:12;-144,7777778;-80,77126694
20:13;166,2222222;160,9537765
20:13;-76,77777778;-74,36838569
20:14;3,222222222;2,41498509
20:14;45,22222222;43,91325027
20:15;24,22222222;25,28266256
20:16;59,22222222;55,61100883
20:16;24,22222222;26,46029189
20:17;28,22222222;28,09256351
20:17;50,22222222;41,6425726
20:18;100,2222222;91,89214356
20:18;13,22222222;16,80502831
20:19;35,22222222;34,64649247
20:19;4,222222222;7,563593291
20:20;23,22222222;21,99152049
20:21;-35,77777778;-28,26803009
20:21;66,22222222;61,92209453
20:22;12,22222222;13,52906327
20:22;-9,777777778;-8,685145889
20:23;34,22222222;30,26354093
20:23;-27,77777778;-24,45870591
20:24;27,22222222;25,05364434
